,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
159,Tinh chất nghệ Hưng Yên x2.2 (serum) với 22% vitamin C sáng da chuyên sâu & mờ vết thâm Cocoon 30ml,465.0,43000.0,,0.0,,2023-02-23,Ginger,G,14
160,Thạch nghệ Hưng Yên giúp làm sáng da và mờ thâm Cocoon 30ml,195.0,28000.0,,0.0,,2023-02-23,Ginger,G,13
161,[Mã COSCN12 giảm 8%] Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 30ml,145.0,228000.0,,0.0,,2023-02-23,Ginger,G,19
162,[Mã COSCN12 giảm 8%] Tinh chất nghệ Hưng Yên (serum) Cocoon sáng da chuyên sâu & mờ vết thâm 30ml,325.0,112000.0,,0.0,,2023-02-23,Ginger,G,22
163,[Mã COSCN12 giảm 8%] Combo sáng da chuyên sâu từ nghệ Hưng Yên Cocoon,817.0,384.0,,0.0,,2023-02-23,Ginger,G,18
164,[Mã COSCN12 giảm 8%] Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 140ml,195.0,96000.0,,0.0,,2023-02-23,Ginger,G,21
165,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 100ml,345.0,41000.0,,0.0,,2023-02-23,Ginger,G,16
166,Bigsize - Thạch nghệ Hưng Yên giúp làm sáng da và mờ thâm Cocoon 100ml,385.0,935.0,,0.0,,2023-02-23,Ginger,G,3
167,Bigsize - Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 310ml,295.0,11000.0,,0.0,,2023-02-23,Ginger,G,1
168,SPECIAL COMBO sáng da cơ bản từ nghệ Hưng Yên Cocoon - Tặng mặt nạ nghệ Hưng Yên Cocoon 30ml,390.0,902.0,,0.0,,2023-02-23,Ginger,G,12
169,Bigsize - Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 310ml,295.0,32000.0,,0.0,,2023-02-23,Ginger,G,2
170,[Mã COSCN12 giảm 8%] Xịt khoáng nghệ Hưng Yên Cocoon giúp sáng da và ngăn ngừa oxy hóa Cocoon 130ml,215.0,45000.0,,0.0,,2023-02-23,Ginger,G,23
171,HÀNG TẶNG KHÔNG BÁN - Bigsize - Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 310ml,295.0,598.0,,0.0,,2023-02-23,Ginger,G,5
172,HÀNG TẶNG KHÔNG BÁN - Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 30ml,145.0,62000.0,,0.0,,2023-02-23,Ginger,G,7
173,[Mã COSCN12 giảm 8%] Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 140ml,195.0,61000.0,,0.0,,2023-02-23,Ginger,G,20
174,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước nghệ Hưng Yên 140ml TẶNG Mặt nạ nghệ 30ml Cocoon,340.0,439.0,,0.0,,2023-02-23,Ginger,G,15
175,[Mã COSCN12 giảm 8%] Combo Nước nghệ Hưng Yên 140ml + Mặt nạ nghệ 30ml Cocoon,323.0,270.0,,0.0,,2023-02-23,Ginger,G,17
176,HÀNG TẶNG KHÔNG BÁN - Bigsize - Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 310ml,295.0,14000.0,,0.0,,2023-02-23,Ginger,G,4
177,HÀNG TẶNG KHÔNG BÁN - Bigsize Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 100ml,345.0,15000.0,,0.0,,2023-02-23,Ginger,G,6
178,HÀNG TẶNG KHÔNG BÁN - Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 140ml,195.0,18000.0,,0.0,,2023-02-23,Ginger,G,8
196,HÀNG TẶNG KHÔNG BÁN - Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 140ml,195.0,26000.0,5,850.0,,2023-02-09,Ginger,G,9
197,Thạch nghệ Hưng Yên giúp làm sáng da và mờ thâm Cocoon 30ml,195.0,26000.0,4.9,810.0,,2023-02-09,Ginger,G,13
198,Bigsize - Thạch nghệ Hưng Yên giúp làm sáng da và mờ thâm Cocoon 100ml,385.0,880.0,4.9,297.0,,2023-02-09,Ginger,G,3
199,[Mã COSCN12 giảm 8%] Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 140ml,195.0,94000.0,4.9,35000.0,,2023-02-09,Ginger,G,21
