Name,Price,Sales,URL,Rating,Rating record,Date,Discount
HÀNG TẶNG KHÔNG BÁN - Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195, ,/HÀNG-TẶNG-KHÔNG-BÁN-Gel-rửa-mặt-cà-phê-Đắk-Lắk-Cocoon-cho-làn-da-tươi-mới-và-rạng-rỡ-140ml-i.175753395.20172802350?sp_atk=2d038c90-5593-4140-b0cc-b9ac6d5a418f&amp;xptdk=2d038c90-5593-4140-b0cc-b9ac6d5a418f,,,9/2/2023,
Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195,Đã bán 175,/Gel-rửa-mặt-cà-phê-Đắk-Lắk-Cocoon-cho-làn-da-tươi-mới-và-rạng-rỡ-140ml-i.175753395.22920728146?sp_atk=312a0a82-fd72-43f5-be9a-43108993cfa6&amp;xptdk=312a0a82-fd72-43f5-be9a-43108993cfa6,4.9,64,9/2/2023,
[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340,Đã bán 629,/-DEAL-1-TẶNG-1-ĐỘC-QUYỀN-FLASH-SALE-Bơ-dưỡng-thể-cà-phê-200ml-TẶNG-Tẩy-da-chết-cơ-thể-cà-phê-Đắk-Lắk-Cocoon-200ml-i.175753395.18028976185?sp_atk=60592e60-a15c-47d4-b11a-c1e9ab1e7aaa&amp;xptdk=60592e60-a15c-47d4-b11a-c1e9ab1e7aaa, , ,9/2/2023,
Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,351,"Đã bán 1,4k",/Combo-Sáng-Mịn-Sạch-Mụn-1-Gel-tắm-bí-đao-Cocoon-310ml-1-Cà-phê-Đắk-Lắk-làm-sạch-da-chết-cơ-thể-Cocoon-200ml-i.175753395.5108454039?sp_atk=595aaad2-e465-4222-a157-992321885745&amp;xptdk=595aaad2-e465-4222-a157-992321885745,,,9/2/2023,
[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,215,"Đã bán 10,5k",/-Mã-COSCN12-giảm-8-Bơ-dưỡng-thể-cà-phê-Đắk-Lắk-Cocoon-cho-da-mềm-mịn-rạng-rỡ-200ml-i.175753395.8146832970?sp_atk=c5642682-eeae-4889-a96b-c54ded607342&amp;xptdk=c5642682-eeae-4889-a96b-c54ded607342,5,"4,3k",9/2/2023,
[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323,"Đã bán 1,6k",/-Mã-COSCN12-giảm-8-Combo-làm-sạch-da-chết-và-dưỡng-ẩm-cơ-thể-từ-cà-phê-Đắk-Lắk-Cocoon-i.175753395.13210217282?sp_atk=45a8a61f-4530-4bee-bee4-80666fac087a&amp;xptdk=45a8a61f-4530-4bee-bee4-80666fac087a,5,576,9/2/2023,
[Mã COSCN12 giảm 8%] Combo Cà phê Đắk Lắk làm sạch da chết môi Cocoon 5g + Son dưỡng dầu dừa Bến Tre Cocoon 5g,107,"Đã bán 5,3k",/-Mã-COSCN12-giảm-8-Combo-Cà-phê-Đắk-Lắk-làm-sạch-da-chết-môi-Cocoon-5g-Son-dưỡng-dầu-dừa-Bến-Tre-Cocoon-5g-i.175753395.9673254799?sp_atk=f2f8dec7-1b1b-4d76-8956-4d9efcc8cf87&amp;xptdk=f2f8dec7-1b1b-4d76-8956-4d9efcc8cf87,5,2k,9/2/2023,
HÀNG TẶNG KHÔNG BÁN - Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125,"Đã bán 23,8k",/HÀNG-TẶNG-KHÔNG-BÁN-Tẩy-da-chết-cơ-thể-cà-phê-Đắk-Lắk-Cocoon-cho-làn-da-mềm-mại-và-rạng-rỡ-200ml-i.175753395.17516108216?sp_atk=006bd7d9-608c-4c8b-a305-20e7cbae7f7a&amp;xptdk=006bd7d9-608c-4c8b-a305-20e7cbae7f7a,5,"8,1k",9/2/2023,
[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125,"Đã bán 119,2k",/-Mã-COSCN12-giảm-8-Tẩy-da-chết-cơ-thể-cà-phê-Đắk-Lắk-Cocoon-cho-làn-da-mềm-mại-và-rạng-rỡ-200ml-i.175753395.7906998505?sp_atk=552e0e43-26e5-4868-847f-dd212bd4e3e6&amp;xptdk=552e0e43-26e5-4868-847f-dd212bd4e3e6,,,9/2/2023,
[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,75,"Đã bán 20,1k",/-Mã-COSCN12-giảm-8-Tẩy-da-chết-môi-cà-phê-Đắk-Lắk-Cocoon-môi-ẩm-mềm-5g-i.175753395.5261821960?sp_atk=7a3b5d48-a5bb-4c92-8a94-6b2e326b5b2e&amp;xptdk=7a3b5d48-a5bb-4c92-8a94-6b2e326b5b2e,5,"8,1k",9/2/2023,
TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml, ,"Đã bán 7,3k",/TÚI-REFILL-Cà-phê-Đắk-Lắk-làm-sạch-da-chết-cơ-thể-Cocoon-600ml-i.175753395.15085473203?sp_atk=af341c56-1cc7-4182-987b-8cc30d680a45&amp;xptdk=af341c56-1cc7-4182-987b-8cc30d680a45,4.9,"2,2k",9/2/2023,
SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g Giảm 8,325,Đã bán 7k,/SPECIAL-DEAL-cà-phê-Đắk-Lắk-làm-sạch-da-chết-cơ-thể-Cocoon-600ml-Tặng-tẩy-da-chết-môi-cà-phê-Đắk-Lắk-Cocoon-5g-Giảm-8-i.175753395.14133366490?sp_atk=8a8f270c-f7d1-4118-89f1-c2523b007610&amp;xptdk=8a8f270c-f7d1-4118-89f1-c2523b007610,4.9,"2,5k",9/2/2023,
