,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
242,PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,61000.0,4.9,17000.0,,2023-02-10,Pomelo,P,5
243,[Mã COSCN12 giảm 8%] Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,145.0,1226000.0,4.9,472000.0,,2023-02-10,Pomelo,P,15
244,SPECIAL COMBO gội xả bưởi không sulfate giảm gãy rụng tóc Cocoon - tặng 1 nước dưỡng tóc tinh dầu bưởi Cocoon 140ml,430.0,135000.0,4.9,45000.0,,2023-02-10,Pomelo,P,12
245,HÀNG TẶNG KHÔNG BÁN - PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,35000.0,5,11000.0,,2023-02-10,Pomelo,P,3
246,[Mã COSCN12 giảm 8%] Dầu gội bưởi Cocoon giúp giảm gãy rụng và làm mềm tóc 310ml,245.0,12000.0,4.9,4000.0,,2023-02-10,Pomelo,P,13
247,[Mã COSCN12 giảm 8%] Dầu xả bưởi Cocoon giúp cung cấp dưỡng chất và bổ sung độ ẩm cho tóc 310ml,185.0,52000.0,4.9,19000.0,,2023-02-10,Pomelo,P,14
266,[Mã COSCN12 giảm 8%] Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,145.0,1227000.0,4.9,472000.0,,2023-02-11,Pomelo,P,15
267,PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,0.0, ,0.0,,2023-02-11,Pomelo,P,5
268,SPECIAL COMBO gội xả bưởi không sulfate giảm gãy rụng tóc Cocoon - tặng 1 nước dưỡng tóc tinh dầu bưởi Cocoon 140ml,430.0,135000.0,4.9,45000.0,,2023-02-11,Pomelo,P,12
269,HÀNG TẶNG KHÔNG BÁN - PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,0.0, ,0.0,,2023-02-11,Pomelo,P,3
270,[Mã COSCN12 giảm 8%] Dầu gội bưởi Cocoon giúp giảm gãy rụng và làm mềm tóc 310ml,245.0,12000.0,4.9,4000.0,,2023-02-11,Pomelo,P,13
271,[Mã COSCN12 giảm 8%] Dầu xả bưởi Cocoon giúp cung cấp dưỡng chất và bổ sung độ ẩm cho tóc 310ml,185.0,52000.0,4.9,19000.0,,2023-02-11,Pomelo,P,14
291,[Mã COSCN12 giảm 8%] Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,145.0,1228000.0,4.9,472000.0,,2023-02-12,Pomelo,P,15
292,PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,63000.0,4.9,18000.0,,2023-02-12,Pomelo,P,5
293,SPECIAL COMBO gội xả bưởi không sulfate giảm gãy rụng tóc Cocoon - tặng 1 nước dưỡng tóc tinh dầu bưởi Cocoon 140ml,430.0,135000.0,4.9,46000.0,,2023-02-12,Pomelo,P,12
294,HÀNG TẶNG KHÔNG BÁN - PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,35000.0,5,11000.0,,2023-02-12,Pomelo,P,3
295,[Mã COSCN12 giảm 8%] Dầu xả bưởi Cocoon giúp cung cấp dưỡng chất và bổ sung độ ẩm cho tóc 310ml,185.0,53000.0,4.9,19000.0,,2023-02-12,Pomelo,P,14
296,[Mã COSCN12 giảm 8%] Dầu gội bưởi Cocoon giúp giảm gãy rụng và làm mềm tóc 310ml,245.0,121000.0,4.9,4000.0,,2023-02-12,Pomelo,P,13
298,PHIÊN BẢN NÂNG CẤP - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.0,64000.0,4.9,18000.0,,2023-02-13,Pomelo,P,5
