,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID,Product_ID
0,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195.0,175.0,4.9,64.0,,2023-02-09,Coffee,C,4,C4
1,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340.0,629.0, ,0.0,,2023-02-09,Coffee,C,16,C16
2,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,351.0,14000.0,,0.0,,2023-02-09,Coffee,C,3,C3
3,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,215.0,105000.0,5,43000.0,,2023-02-09,Coffee,C,17,C17
4,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323.0,16000.0,5,576.0,,2023-02-09,Coffee,C,19,C19
5,[Mã COSCN12 giảm 8%] Combo Cà phê Đắk Lắk làm sạch da chết môi Cocoon 5g + Son dưỡng dầu dừa Bến Tre Cocoon 5g,107.0,53000.0,5,2000.0,,2023-02-09,Coffee,C,18,C18
6,HÀNG TẶNG KHÔNG BÁN - Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,238000.0,5,81000.0,,2023-02-09,Coffee,C,6,C6
7,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,1192000.0,,0.0,,2023-02-09,Coffee,C,20,C20
8,[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,75.0,201000.0,5,81000.0,,2023-02-09,Coffee,C,21,C21
9,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,,73000.0,4.9,22000.0,,2023-02-09,Coffee,C,15,C15
10,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g Giảm 8,325.0,7000.0,4.9,25000.0,,2023-02-09,Coffee,C,14,C14
11,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195.0,232.0,,0.0,,2023-02-11,Coffee,C,4,C4
12,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323.0,16000.0,5,577.0,,2023-02-11,Coffee,C,19,C19
13,HÀNG TẶNG KHÔNG BÁN - Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,239000.0,5,81000.0,,2023-02-11,Coffee,C,6,C6
14,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,215.0,105000.0,5,43000.0,,2023-02-11,Coffee,C,17,C17
15,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,351.0,14000.0, ,0.0,,2023-02-11,Coffee,C,3,C3
16,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,1195000.0,5,442000.0,,2023-02-11,Coffee,C,20,C20
17,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340.0,648.0,"4,9",208.0,,2023-02-11,Coffee,C,16,C16
18,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g Giảm 8,325.0,71000.0,"4,9",25000.0,,2023-02-11,Coffee,C,14,C14
19,[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,75.0,201000.0,5,81000.0,,2023-02-11,Coffee,C,21,C21
20,[Mã COSCN12 giảm 8%] Combo Cà phê Đắk Lắk làm sạch da chết môi Cocoon 5g + Son dưỡng dầu dừa Bến Tre Cocoon 5g,107.0,53000.0,5,2000.0,,2023-02-11,Coffee,C,18,C18
21,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,325.0,74000.0,"4,9",22000.0,,2023-02-11,Coffee,C,15,C15
22,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195.0,245.0,4.9,87.0,,2023-02-12,Coffee,C,4,C4
23,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340.0,655.0,4.9,210.0,,2023-02-12,Coffee,C,16,C16
24,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,274.55,16000.0,5,577.0,,2023-02-12,Coffee,C,19,C19
25,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,298.35,14000.0,4.9,469.0,,2023-02-12,Coffee,C,3,C3
26,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,106.25,1196000.0,5,443000.0,,2023-02-12,Coffee,C,20,C20
27,HÀNG TẶNG KHÔNG BÁN - Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,239000.0,5,81000.0,,2023-02-12,Coffee,C,6,C6
28,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,182.75,105000.0,5,43000.0,,2023-02-12,Coffee,C,17,C17
29,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g Giảm 8,325.0,71000.0,4.9,25000.0,,2023-02-12,Coffee,C,14,C14
30,[Mã COSCN12 giảm 8%] Combo Cà phê Đắk Lắk làm sạch da chết môi Cocoon 5g + Son dưỡng dầu dừa Bến Tre Cocoon 5g,90.95,53000.0,5,2000.0,,2023-02-12,Coffee,C,18,C18
