,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
645,[Mã COSCN12 giảm 8%] Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 140ml,145.0,17000.0,"4,9",671.0,,2023-02-27,Rose,R,18
646,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,75000.0,5,31000.0,,2023-02-27,Rose,R,16
647,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,2000.0,5,762.0,,2023-02-27,Rose,R,7
648,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,66000.0,"4,9",24000.0,,2023-02-27,Rose,R,9
649,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,85000.0,"4,9",31000.0,,2023-02-27,Rose,R,8
650,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-02-27,Rose,R,15
651,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,159000.0,5,65000.0,,2023-02-27,Rose,R,19
652,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,38000.0,5,14000.0,,2023-02-27,Rose,R,20
676,[Mã COSCN12 giảm 8%] Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 140ml,145.0,17000.0,"4,9",672.0,,2023-02-28,Rose,R,18
677,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,54000.0,5,19000.0,,2023-02-28,Rose,R,14
678,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,75000.0,5,31000.0,,2023-02-28,Rose,R,16
679,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,2000.0,5,762.0,,2023-02-28,Rose,R,7
680,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-02-28,Rose,R,15
681,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,85000.0,"4,9",31000.0,,2023-02-28,Rose,R,8
682,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,66000.0,"4,9",24000.0,,2023-02-28,Rose,R,9
707,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,153.0,55000.0,5,19000.0,15.0,2023-03-08,Rose,R,14
708,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,165.75,52000.0,"4,9",19000.0,15.0,2023-03-08,Rose,R,15
709,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,244.0,"4,9",73.0,,2023-03-08,Rose,R,6
710,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",803.25,197.0,"4,8",72.0,15.0,2023-03-08,Rose,R,13
711,HÀNG TẶNG KHÔNG BÁN - Bigsize Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,485.0,5,219.0,,2023-03-08,Rose,R,2
712,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",390.0,509.0,"4,9",210.0,,2023-03-08,Rose,R,5
713,HÀNG TẶNG KHÔNG BÁN - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,226.0,5,81.0,,2023-03-08,Rose,R,3
714,HÀNG TẶNG KHÔNG BÁN - Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,11000.0,"4,9",443.0,,2023-03-08,Rose,R,1
715,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,274.55,250.0,5,90.0,15.0,2023-03-08,Rose,R,10
716,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,528.7,686.0,5,283.0,15.0,2023-03-08,Rose,R,12
717,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,528.7,122.0,5,46.0,15.0,2023-03-08,Rose,R,11
